Distance_(pixels),Gray_Value
454,0.7164
455,0.8178
456,0.7080
457,0.8516
458,0.7850
459,0.7277
460,0.7812
461,0.7681
462,0.8770
463,0.8169
464,0.8836
465,0.8366
466,1.0254
467,0.8742
468,1.0648
469,0.9023
470,0.7934
471,1.0103
472,0.9577
473,1.0883
474,1.0573
475,1.2404
476,1.1089
477,1.2798
478,1.2451
479,1.1944
480,1.5014
481,1.4460
482,1.7671
483,1.7437
484,2.1033
485,2.1455
486,2.6376
487,2.6836
488,3.2300
489,3.1746
490,3.2498
491,3.8995
492,4.0892
493,4.8423
494,5.1784
495,6.1324
496,6.5671
497,7.6939
498,8.2798
499,9.9352
500,10.7484
501,11.5756
502,13.4479
503,14.3192
504,16.4188
505,17.5164
506,19.7906
507,21.0554
508,23.8620
509,25.2423
510,26.7155
511,30.3268
512,32.2817
513,36.5371
514,39.1549
515,43.6920
516,44.3258
517,44.1502
518,43.9371
519,43.3577
520,42.9174
521,42.3390
522,40.9343
523,40.0244
524,37.6009
525,36.1803
526,33.1718
527,31.6300
528,28.2047
529,26.3324
530,22.6188
531,21.0235
532,19.7953
533,17.9352
534,17.1418
535,15.8160
536,15.1746
537,14.0704
538,13.5174
539,12.6592
540,12.2178
541,11.8160
542,10.9869
543,10.6047
544,9.8685
545,9.4901
546,8.7239
547,8.3718
548,7.7033
549,7.3991
550,6.7258
551,6.4376
552,6.1324
553,5.5221
554,5.2272
555,4.5784
556,4.3239
557,3.7249
558,3.5690
559,3.1211
560,2.9531
561,2.5286
562,2.4601
563,2.3521
564,1.9568
565,1.8507
566,1.5728
567,1.4826
568,1.1305
569,1.1146
570,0.9540
571,0.8601
572,0.9136
573,0.6826
574,0.8169
575,0.7174
576,0.7934
577,0.7803
578,0.8103
579,0.7371
580,0.7634
581,0.6817
582,0.7484
583,0.9005
584,0.7709
585,0.8695
586,0.8019
587,0.8967
588,0.8075
589,0.7972
590,0.6704
591,0.7587
592,0.6995
593,0.7089
594,0.7925
595,0.7192
596,0.8103
597,0.7286
598,0.8141
599,0.7587
600,0.7258
601,0.6638
602,0.7596
603,0.7343
604,0.6207
605,0.7352
606,0.6770
607,0.6629
608,0.6188
609,0.6911
