Distance_(pixels),Gray_Value
454,26.2727
455,26.9697
456,27.5606
457,27.5152
458,27.4242
459,28.4545
460,28.8636
461,28.5455
462,28.6818
463,28.3030
464,28.4242
465,29.7576
466,29.8636
467,29.8636
468,29.9848
469,29.9242
470,29.9848
471,30.2879
472,30.7879
473,30.7424
474,30.2424
475,30.1061
476,30.2121
477,29.9394
478,30.1212
479,29.9848
480,29.1364
481,28.9091
482,28.9394
483,28.7121
484,28.7273
485,28.4242
486,27.6970
487,26.9242
488,25.3939
489,24.6818
490,24.2727
491,23.7879
492,22.7273
493,22.1515
494,22.6212
495,22.3636
496,21.1364
497,20.7121
498,19.0606
499,18.5606
500,17.7424
501,18.7273
502,18.3485
503,17.9242
504,17.3182
505,16.6364
506,16.2424
507,16.1515
508,15.8333
509,15.6212
510,14.8333
511,14.5606
512,13.1364
513,13.7879
514,13.3636
515,12.8788
516,12.0758
517,10.6515
518,10.6970
519,11.5152
520,11.5606
521,11.4697
522,9.5455
523,9.8939
524,9.9242
525,9.9848
526,9.9242
527,9.9394
528,9.3333
529,9.4242
530,7.9848
531,8.9848
532,8.7424
533,8.8939
534,8.9091
535,8.6667
536,9.0606
537,9.5303
538,8.7879
539,7.5758
540,8.2727
541,7.2576
542,8.3636
543,8.4242
544,7.8333
545,7.1364
546,7.4697
547,7.0606
548,8.3485
549,8.6667
550,8.2576
551,7.6818
552,7.3939
553,7.3030
554,7.8485
555,7.1364
556,7.4394
557,7.5303
558,7.3030
559,7.4091
560,8.6515
561,8.1818
562,8.5455
563,8.6515
564,7.2879
565,6.9394
566,8.3939
567,9.0000
568,7.9545
569,7.9242
570,7.8485
571,7.0606
572,7.4091
573,8.1212
574,8.6667
575,8.3939
576,7.7273
577,6.9848
578,7.4091
579,7.2273
580,7.0909
581,7.1970
582,7.4242
583,8.0000
584,7.8636
585,7.6515
586,7.2727
587,7.2424
588,7.3636
589,8.2727
590,8.7273
591,8.1667
592,7.4545
593,7.6667
594,7.6818
595,8.3182
596,8.4697
597,7.6515
598,7.7273
599,7.5152
600,7.6818
601,7.7273
602,7.5152
603,7.2727
604,7.3333
605,7.6364
606,7.8333
607,8.4545
608,8.4848
609,7.6970
610,7.6970
611,7.2121
612,7.4545
613,7.3939
614,7.9091
615,8.2727
616,8.1212
617,7.7727
618,7.6364
619,7.5152
620,7.5758
621,7.6364
622,7.6364
623,7.4545
624,7.8333
625,8.0909
626,7.7576
627,7.6970
628,7.5152
629,7.5758
630,7.8182
631,7.5152
632,7.5152
633,7.4545
634,7.7879
635,7.5152
636,7.8788
637,7.8182
638,7.5152
639,7.5758
640,7.5758
641,7.4545
642,7.5758
643,7.6970
644,7.6364
645,7.7576
646,7.4545
647,7.5152
648,7.6970
649,7.6364
650,7.5152
651,7.3939
652,7.2727
653,7.3333
654,7.8182
655,7.3939
656,7.4545
657,7.3939
658,7.5152
659,7.2121
660,7.6364
661,7.5152
662,7.4545
663,7.3939
664,7.2121
665,7.5758
666,7.6364
667,7.4545
668,7.3939
669,7.5758
670,7.5758
671,7.6364
672,7.3939
673,7.6364
674,7.6061
675,7.2121
676,7.2121
677,6.9091
678,7.0909
679,7.3939
680,7.0303
681,6.9697
682,6.9697
683,6.8485
684,7.0909
685,7.1515
686,7.0909
687,7.2121
688,7.0909
689,6.9697
690,7.0909
691,7.1515
692,6.7879
693,6.7879
694,6.8485
695,7.0303
696,6.8485
697,6.9697
698,7.1515
699,6.8485
700,6.8485
701,7.2121
702,6.7273
703,6.9091
704,6.9091
705,7.0909
706,6.8485
707,7.0303
708,6.6667
709,6.9091
710,6.9697
711,6.8485
712,7.0909
713,6.8485
714,6.8485
715,7.2727
716,7.1515
717,6.9697
718,7.0909
719,6.7879
720,6.7879
721,6.9697
722,7.2424
723,6.9091
724,6.7273
725,7.1515
726,6.7879
727,6.9091
728,6.7273
729,6.9091
730,7.0909
731,7.0303
732,7.0909
733,7.0909
734,6.7273
735,6.7273
736,6.9091
737,7.0303
738,7.0303
739,7.0303
740,6.8485
741,6.7273
742,6.6667
743,6.7273
744,6.7273
745,6.7879
746,6.7273
747,6.6667
748,6.6667
749,6.7879
750,6.7273
751,6.9697
752,6.8485
753,6.7273
754,6.7273
755,6.7879
756,6.7879
757,6.7273
758,6.8485
759,6.7273
760,6.8485
761,6.6667
762,6.6667
763,6.6667
764,6.8485
765,6.7879
766,6.8485
767,6.7879
768,6.7273
769,6.7273
770,6.6667
771,6.6667
772,6.7879
773,6.6667
774,6.6667
775,6.6667
776,6.6667
777,6.7273
778,6.8485
779,6.6667
780,6.6667
781,6.6667
782,6.6667
783,6.6667
784,6.6667
785,6.7273
786,6.6667
787,6.6667
